word,korean_meaning,level,korean_example,english_translation,image_file,tts_word_en,tts_meaning_ko,tts_example_en,tts_example_ko,category,difficulty
disaster,재난,,홍수는 많은 사람들에게 큰 재난이었습니다.,The flood was a big disaster for many people.,disaster.png,disaster_word_en.mp3,disaster_meaning_ko.mp3,disaster_example_en.mp3,disaster_example_ko.mp3,위기탈출,3
discover,발견하다,,과학자들이 새로운 별을 발견했습니다.,Scientists discovered a new star.,discover.png,discover_word_en.mp3,discover_meaning_ko.mp3,discover_example_en.mp3,discover_example_ko.mp3,초급,2
discovery,발견,,그 발견은 의학에 큰 도움이 되었습니다.,The discovery was a great help to medicine.,discovery.png,discovery_word_en.mp3,discovery_meaning_ko.mp3,discovery_example_en.mp3,discovery_example_ko.mp3,초급,2
discussion,토론,,우리는 수업 시간에 환경 문제에 대해 토론을 했습니다.,We had a discussion about environmental problems in class.,discussion.png,discussion_word_en.mp3,discussion_meaning_ko.mp3,discussion_example_en.mp3,discussion_example_ko.mp3,초급,2
disease,질병,,손을 자주 씻으면 질병을 예방할 수 있습니다.,"If you wash your hands often, you can prevent disease.",disease.png,disease_word_en.mp3,disease_meaning_ko.mp3,disease_example_en.mp3,disease_example_ko.mp3,위기탈출,3
distance,거리,,우리 집과 학교 사이의 거리는 멀지 않습니다.,The distance between my house and school is not far.,distance.png,distance_word_en.mp3,distance_meaning_ko.mp3,distance_example_en.mp3,distance_example_ko.mp3,여행,2
divorced,이혼한,,그는 이혼한 후 혼자 살고 있습니다.,He has been living alone since he got divorced.,divorced.png,divorced_word_en.mp3,divorced_meaning_ko.mp3,divorced_example_en.mp3,divorced_example_ko.mp3,초급,2
document,문서,,중요한 문서를 이메일로 보냈습니다.,I sent an important document by email.,document.png,document_word_en.mp3,document_meaning_ko.mp3,document_example_en.mp3,document_example_ko.mp3,비즈니스,3
double,두 배의,,오늘은 손님이 평소보다 두 배의 음식을 주문했습니다.,Today the customers ordered double the usual amount of food.,double.png,double_word_en.mp3,double_meaning_ko.mp3,double_example_en.mp3,double_example_ko.mp3,초급,2
download,다운로드하다,,저는 필요한 파일을 컴퓨터에 다운로드했습니다.,I downloaded the necessary file to my computer.,download.png,download_word_en.mp3,download_meaning_ko.mp3,download_example_en.mp3,download_example_ko.mp3,초급,2
drama,드라마,,저는 주말마다 한국 드라마를 봅니다.,I watch Korean dramas every weekend.,drama.png,drama_word_en.mp3,drama_meaning_ko.mp3,drama_example_en.mp3,drama_example_ko.mp3,초급,2
drawing,그림,,벽에 아이의 그림이 붙어 있습니다.,A child's drawing is on the wall.,drawing.png,drawing_word_en.mp3,drawing_meaning_ko.mp3,drawing_example_en.mp3,drawing_example_ko.mp3,초급,2
dream,꿈,,제 꿈은 세계를 여행하는 것입니다.,My dream is to travel around the world.,dream.png,dream_word_en.mp3,dream_meaning_ko.mp3,dream_example_en.mp3,dream_example_ko.mp3,초급,2
driving,운전,,비 오는 날에는 운전을 조심해야 합니다.,You should be careful when driving on rainy days.,driving.png,driving_word_en.mp3,driving_meaning_ko.mp3,driving_example_en.mp3,driving_example_ko.mp3,초급,2
drop,떨어뜨리다,,그는 컵을 바닥에 떨어뜨렸습니다.,He dropped the cup on the floor.,drop.png,drop_word_en.mp3,drop_meaning_ko.mp3,drop_example_en.mp3,drop_example_ko.mp3,초급,2
drug,약,,의사는 감기약을 약국에서 사라고 했습니다.,The doctor told me to buy cold medicine at the pharmacy.,drug.png,drug_word_en.mp3,drug_meaning_ko.mp3,drug_example_en.mp3,drug_example_ko.mp3,초급,2
dry,마른,,마른 수건으로 손을 닦았습니다.,I dried my hands with a dry towel.,dry.png,dry_word_en.mp3,dry_meaning_ko.mp3,dry_example_en.mp3,dry_example_ko.mp3,초급,2
earn,벌다,,그는 아르바이트로 돈을 벌고 있습니다.,He is earning money from a part-time job.,earn.png,earn_word_en.mp3,earn_meaning_ko.mp3,earn_example_en.mp3,earn_example_ko.mp3,비즈니스,3
earth,지구,,지구는 태양 주위를 돕니다.,The Earth goes around the sun.,earth.png,earth_word_en.mp3,earth_meaning_ko.mp3,earth_example_en.mp3,earth_example_ko.mp3,초급,2
easily,쉽게,,이 문제는 쉽게 풀 수 있습니다.,This problem can be solved easily.,easily.png,easily_word_en.mp3,easily_meaning_ko.mp3,easily_example_en.mp3,easily_example_ko.mp3,초급,2
education,교육,,좋은 교육은 아이들의 미래에 중요합니다.,Good education is important for children's future.,education.png,education_word_en.mp3,education_meaning_ko.mp3,education_example_en.mp3,education_example_ko.mp3,초급,2
effect,효과,,이 약은 효과가 빨리 나타납니다.,This medicine has an effect quickly.,effect.png,effect_word_en.mp3,effect_meaning_ko.mp3,effect_example_en.mp3,effect_example_ko.mp3,초급,2
either,어느 쪽이든,,커피나 차 중 어느 쪽이든 괜찮습니다.,Either coffee or tea is fine.,either.png,either_word_en.mp3,either_meaning_ko.mp3,either_example_en.mp3,either_example_ko.mp3,초급,2
electric,전기의,,전기의 힘으로 이 차가 움직입니다.,This car moves with electric power.,electric.png,electric_word_en.mp3,electric_meaning_ko.mp3,electric_example_en.mp3,electric_example_ko.mp3,초급,2
electrical,전기의,,전기의 문제 때문에 불이 났습니다.,A fire started because of an electrical problem.,electrical.png,electrical_word_en.mp3,electrical_meaning_ko.mp3,electrical_example_en.mp3,electrical_example_ko.mp3,초급,2
electricity,전기,,폭풍 때문에 전기가 끊겼습니다.,The electricity went out because of the storm.,electricity.png,electricity_word_en.mp3,electricity_meaning_ko.mp3,electricity_example_en.mp3,electricity_example_ko.mp3,초급,2
electronic,전자식의,,이 문은 전자식의 잠금장치를 사용합니다.,This door uses an electronic lock.,electronic.png,electronic_word_en.mp3,electronic_meaning_ko.mp3,electronic_example_en.mp3,electronic_example_ko.mp3,초급,2
employ,고용하다,,그 회사는 올해 새 직원을 고용할 계획입니다.,The company plans to employ new workers this year.,employ.png,employ_word_en.mp3,employ_meaning_ko.mp3,employ_example_en.mp3,employ_example_ko.mp3,비즈니스,3
employee,직원,,모든 직원은 아침 회의에 참석해야 합니다.,All employees must attend the morning meeting.,employee.png,employee_word_en.mp3,employee_meaning_ko.mp3,employee_example_en.mp3,employee_example_ko.mp3,비즈니스,3
employer,고용주,,고용주는 직원들에게 월급을 제때 줍니다.,The employer pays the employees on time.,employer.png,employer_word_en.mp3,employer_meaning_ko.mp3,employer_example_en.mp3,employer_example_ko.mp3,비즈니스,3
empty,빈,,교실은 방과 후에 빈 상태였습니다.,The classroom was empty after school.,empty.png,empty_word_en.mp3,empty_meaning_ko.mp3,empty_example_en.mp3,empty_example_ko.mp3,초급,2
ending,결말,,그 영화의 결말은 정말 슬펐습니다.,The ending of the movie was really sad.,ending.png,ending_word_en.mp3,ending_meaning_ko.mp3,ending_example_en.mp3,ending_example_ko.mp3,초급,2
energy,에너지,,아침을 먹으면 하루를 시작할 에너지가 생깁니다.,Eating breakfast gives you energy to start the day.,energy.png,energy_word_en.mp3,energy_meaning_ko.mp3,energy_example_en.mp3,energy_example_ko.mp3,초급,2
engine,엔진,,자동차 엔진에서 이상한 소리가 납니다.,A strange sound is coming from the car engine.,engine.png,engine_word_en.mp3,engine_meaning_ko.mp3,engine_example_en.mp3,engine_example_ko.mp3,초급,2
engineer,엔지니어,,제 형은 다리를 설계하는 엔지니어입니다.,My older brother is an engineer who designs bridges.,engineer.png,engineer_word_en.mp3,engineer_meaning_ko.mp3,engineer_example_en.mp3,engineer_example_ko.mp3,초급,2
enormous,거대한,,바다에서 거대한 고래를 보았습니다.,I saw an enormous whale in the sea.,enormous.png,enormous_word_en.mp3,enormous_meaning_ko.mp3,enormous_example_en.mp3,enormous_example_ko.mp3,초급,2
enter,들어가다,,학생들이 조용히 교실에 들어갔습니다.,The students entered the classroom quietly.,enter.png,enter_word_en.mp3,enter_meaning_ko.mp3,enter_example_en.mp3,enter_example_ko.mp3,초급,2
environment,환경,,우리는 깨끗한 환경을 지켜야 합니다.,We must protect a clean environment.,environment.png,environment_word_en.mp3,environment_meaning_ko.mp3,environment_example_en.mp3,environment_example_ko.mp3,초급,2
equipment,장비,,등산을 가기 전에 필요한 장비를 준비했습니다.,I prepared the necessary equipment before going hiking.,equipment.png,equipment_word_en.mp3,equipment_meaning_ko.mp3,equipment_example_en.mp3,equipment_example_ko.mp3,초급,2
error,오류,,컴퓨터 화면에 오류 메시지가 나타났습니다.,An error message appeared on the computer screen.,error.png,error_word_en.mp3,error_meaning_ko.mp3,error_example_en.mp3,error_example_ko.mp3,초급,2
especially,특히,,저는 과일을 좋아하지만 특히 딸기를 좋아합니다.,"I like fruit, but I especially like strawberries.",especially.png,especially_word_en.mp3,especially_meaning_ko.mp3,especially_example_en.mp3,especially_example_ko.mp3,초급,2
essay,수필,,학생들은 가족에 대한 수필을 썼습니다.,The students wrote an essay about their families.,essay.png,essay_word_en.mp3,essay_meaning_ko.mp3,essay_example_en.mp3,essay_example_ko.mp3,초급,2
everyday,일상적인,,운동은 저의 일상적인 습관입니다.,Exercise is my everyday habit.,everyday.png,everyday_word_en.mp3,everyday_meaning_ko.mp3,everyday_example_en.mp3,everyday_example_ko.mp3,초급,2
everywhere,어디에나,,봄에는 공원 어디에나 꽃이 피어 있습니다.,"In spring, flowers bloom everywhere in the park.",everywhere.png,everywhere_word_en.mp3,everywhere_meaning_ko.mp3,everywhere_example_en.mp3,everywhere_example_ko.mp3,초급,2
evidence,증거,,경찰은 중요한 증거를 찾았습니다.,The police found important evidence.,evidence.png,evidence_word_en.mp3,evidence_meaning_ko.mp3,evidence_example_en.mp3,evidence_example_ko.mp3,초급,2
exact,정확한,,정확한 시간을 알려 주세요.,Please tell me the exact time.,exact.png,exact_word_en.mp3,exact_meaning_ko.mp3,exact_example_en.mp3,exact_example_ko.mp3,초급,2
exactly,정확히,,그는 약속 시간에 정확히 도착했습니다.,He arrived exactly at the appointment time.,exactly.png,exactly_word_en.mp3,exactly_meaning_ko.mp3,exactly_example_en.mp3,exactly_example_ko.mp3,초급,2
excellent,훌륭한,,그녀는 훌륭한 선생님입니다.,She is an excellent teacher.,excellent.png,excellent_word_en.mp3,excellent_meaning_ko.mp3,excellent_example_en.mp3,excellent_example_ko.mp3,초급,2
except,제외하고,,민수를 제외하고 모두 회의에 왔습니다.,Everyone except Minsu came to the meeting.,except.png,except_word_en.mp3,except_meaning_ko.mp3,except_example_en.mp3,except_example_ko.mp3,초급,2
exist,존재하다,,많은 문화가 이 나라에 존재합니다.,Many cultures exist in this country.,exist.png,exist_word_en.mp3,exist_meaning_ko.mp3,exist_example_en.mp3,exist_example_ko.mp3,초급,2
expect,예상하다,,우리는 내일 비가 올 것이라고 예상합니다.,We expect that it will rain tomorrow.,expect.png,expect_word_en.mp3,expect_meaning_ko.mp3,expect_example_en.mp3,expect_example_ko.mp3,초급,2
experience,경험,,이번 여행은 좋은 경험이었습니다.,This trip was a good experience.,experience.png,experience_word_en.mp3,experience_meaning_ko.mp3,experience_example_en.mp3,experience_example_ko.mp3,초급,2
experiment,실험,,학생들은 과학 시간에 실험을 했습니다.,The students did an experiment in science class.,experiment.png,experiment_word_en.mp3,experiment_meaning_ko.mp3,experiment_example_en.mp3,experiment_example_ko.mp3,초급,2
expert,전문가,,그는 컴퓨터 분야의 전문가입니다.,He is an expert in the field of computers.,expert.png,expert_word_en.mp3,expert_meaning_ko.mp3,expert_example_en.mp3,expert_example_ko.mp3,비즈니스,3
explanation,설명,,선생님의 설명은 이해하기 쉬웠습니다.,The teacher's explanation was easy to understand.,explanation.png,explanation_word_en.mp3,explanation_meaning_ko.mp3,explanation_example_en.mp3,explanation_example_ko.mp3,초급,2
express,표현하다,,그는 자신의 생각을 분명하게 표현했습니다.,He expressed his thoughts clearly.,express.png,express_word_en.mp3,express_meaning_ko.mp3,express_example_en.mp3,express_example_ko.mp3,초급,2
expression,표현,,이 표현은 일상생활에서 자주 쓰입니다.,This expression is often used in daily life.,expression.png,expression_word_en.mp3,expression_meaning_ko.mp3,expression_example_en.mp3,expression_example_ko.mp3,초급,2
extreme,극단적인,,극단적인 생각은 조심해야 합니다.,We should be careful with extreme ideas.,extreme.png,extreme_word_en.mp3,extreme_meaning_ko.mp3,extreme_example_en.mp3,extreme_example_ko.mp3,초급,2
extremely,매우,,오늘 날씨가 매우 춥습니다.,The weather is extremely cold today.,extremely.png,extremely_word_en.mp3,extremely_meaning_ko.mp3,extremely_example_en.mp3,extremely_example_ko.mp3,초급,2
factor,요인,,건강은 행복의 중요한 요인입니다.,Health is an important factor in happiness.,factor.png,factor_word_en.mp3,factor_meaning_ko.mp3,factor_example_en.mp3,factor_example_ko.mp3,초급,2
factory,공장,,그 공장은 자동차를 만듭니다.,That factory makes cars.,factory.png,factory_word_en.mp3,factory_meaning_ko.mp3,factory_example_en.mp3,factory_example_ko.mp3,비즈니스,3
fail,실패하다,,열심히 준비했지만 시험에 실패했습니다.,"I prepared hard, but I failed the exam.",fail.png,fail_word_en.mp3,fail_meaning_ko.mp3,fail_example_en.mp3,fail_example_ko.mp3,위기탈출,3
fair,공정한,,우리는 공정한 규칙이 필요합니다.,We need fair rules.,fair.png,fair_word_en.mp3,fair_meaning_ko.mp3,fair_example_en.mp3,fair_example_ko.mp3,초급,2
fan,팬,,저는 그 가수의 팬입니다.,I am a fan of that singer.,fan.png,fan_word_en.mp3,fan_meaning_ko.mp3,fan_example_en.mp3,fan_example_ko.mp3,초급,2
farming,농업,,이 마을 사람들은 주로 농업을 합니다.,The people in this village mainly do farming.,farming.png,farming_word_en.mp3,farming_meaning_ko.mp3,farming_example_en.mp3,farming_example_ko.mp3,초급,2
fashion,패션,,그녀는 패션에 관심이 많습니다.,She is very interested in fashion.,fashion.png,fashion_word_en.mp3,fashion_meaning_ko.mp3,fashion_example_en.mp3,fashion_example_ko.mp3,쇼핑,2
fear,두려움,,그는 높은 곳에 대한 두려움이 있습니다.,He has a fear of high places.,fear.png,fear_word_en.mp3,fear_meaning_ko.mp3,fear_example_en.mp3,fear_example_ko.mp3,위기탈출,3
feature,특징,,이 휴대폰의 가장 큰 특징은 긴 배터리 수명입니다.,The biggest feature of this phone is its long battery life.,feature.png,feature_word_en.mp3,feature_meaning_ko.mp3,feature_example_en.mp3,feature_example_ko.mp3,초급,2
feed,먹이다,,나는 매일 아침 고양이에게 밥을 먹입니다.,I feed my cat every morning.,feed.png,feed_word_en.mp3,feed_meaning_ko.mp3,feed_example_en.mp3,feed_example_ko.mp3,초급,2
female,여성,,이 회사에는 여성 직원이 많습니다.,There are many female employees at this company.,female.png,female_word_en.mp3,female_meaning_ko.mp3,female_example_en.mp3,female_example_ko.mp3,초급,2
fiction,소설,,저는 역사 소설을 좋아합니다.,I like historical fiction.,fiction.png,fiction_word_en.mp3,fiction_meaning_ko.mp3,fiction_example_en.mp3,fiction_example_ko.mp3,초급,2
field,분야,,그녀는 의학 분야에서 일합니다.,She works in the field of medicine.,field.png,field_word_en.mp3,field_meaning_ko.mp3,field_example_en.mp3,field_example_ko.mp3,초급,2
fight,싸우다,,아이들이 장난감 때문에 싸웠습니다.,The children fought over a toy.,fight.png,fight_word_en.mp3,fight_meaning_ko.mp3,fight_example_en.mp3,fight_example_ko.mp3,위기탈출,3
figure,숫자,,보고서의 숫자를 다시 확인하세요.,Please check the figures in the report again.,figure.png,figure_word_en.mp3,figure_meaning_ko.mp3,figure_example_en.mp3,figure_example_ko.mp3,초급,2
finally,마침내,,우리는 마침내 집에 도착했습니다.,We finally arrived home.,finally.png,finally_word_en.mp3,finally_meaning_ko.mp3,finally_example_en.mp3,finally_example_ko.mp3,초급,2
finger,손가락,,그는 손가락을 다쳤습니다.,He hurt his finger.,finger.png,finger_word_en.mp3,finger_meaning_ko.mp3,finger_example_en.mp3,finger_example_ko.mp3,초급,2
firstly,우선,,우선 이름을 써 주세요.,"Firstly, please write your name.",firstly.png,firstly_word_en.mp3,firstly_meaning_ko.mp3,firstly_example_en.mp3,firstly_example_ko.mp3,초급,2
fishing,낚시,,아버지는 주말마다 낚시를 하십니다.,My father goes fishing every weekend.,fishing.png,fishing_word_en.mp3,fishing_meaning_ko.mp3,fishing_example_en.mp3,fishing_example_ko.mp3,초급,2
fit,맞다,,이 신발은 제 발에 잘 맞습니다.,These shoes fit my feet well.,fit.png,fit_word_en.mp3,fit_meaning_ko.mp3,fit_example_en.mp3,fit_example_ko.mp3,초급,2
fix,고치다,,형이 고장 난 자전거를 고쳤습니다.,My older brother fixed the broken bicycle.,fix.png,fix_word_en.mp3,fix_meaning_ko.mp3,fix_example_en.mp3,fix_example_ko.mp3,초급,2
flu,독감,,그는 독감에 걸려서 학교에 가지 못했습니다.,He got the flu and could not go to school.,flu.png,flu_word_en.mp3,flu_meaning_ko.mp3,flu_example_en.mp3,flu_example_ko.mp3,위기탈출,3
flying,비행,,비행 중에는 안전벨트를 매야 합니다.,You must wear a seat belt during the flight.,flying.png,flying_word_en.mp3,flying_meaning_ko.mp3,flying_example_en.mp3,flying_example_ko.mp3,초급,2
focus,집중하다,,수업 시간에는 선생님 말씀에 집중하세요.,Focus on the teacher's words during class.,focus.png,focus_word_en.mp3,focus_meaning_ko.mp3,focus_example_en.mp3,focus_example_ko.mp3,초급,2
following,다음의,,다음의 질문에 대답하세요.,Answer the following questions.,following.png,following_word_en.mp3,following_meaning_ko.mp3,following_example_en.mp3,following_example_ko.mp3,초급,2
foreign,외국의,,그는 외국의 문화를 배우고 싶어 합니다.,He wants to learn about foreign cultures.,foreign.png,foreign_word_en.mp3,foreign_meaning_ko.mp3,foreign_example_en.mp3,foreign_example_ko.mp3,여행,2
forest,숲,,우리는 숲에서 산책했습니다.,We took a walk in the forest.,forest.png,forest_word_en.mp3,forest_meaning_ko.mp3,forest_example_en.mp3,forest_example_ko.mp3,여행,2
fork,포크,,그는 포크로 샐러드를 먹었습니다.,He ate the salad with a fork.,fork.png,fork_word_en.mp3,fork_meaning_ko.mp3,fork_example_en.mp3,fork_example_ko.mp3,초급,2
formal,격식에 맞는,,결혼식에는 격식에 맞는 옷을 입어야 합니다.,You should wear formal clothes to a wedding.,formal.png,formal_word_en.mp3,formal_meaning_ko.mp3,formal_example_en.mp3,formal_example_ko.mp3,초급,2
fortunately,다행히,,다행히 아무도 다치지 않았습니다.,"Fortunately, no one was hurt.",fortunately.png,fortunately_word_en.mp3,fortunately_meaning_ko.mp3,fortunately_example_en.mp3,fortunately_example_ko.mp3,초급,2
forward,앞으로,,그는 한 걸음 앞으로 나갔습니다.,He took one step forward.,forward.png,forward_word_en.mp3,forward_meaning_ko.mp3,forward_example_en.mp3,forward_example_ko.mp3,초급,2
fresh,신선한,,이 가게는 신선한 과일을 팝니다.,This store sells fresh fruit.,fresh.png,fresh_word_en.mp3,fresh_meaning_ko.mp3,fresh_example_en.mp3,fresh_example_ko.mp3,초급,2
fridge,냉장고,,우유를 냉장고에 넣어 주세요.,Please put the milk in the fridge.,fridge.png,fridge_word_en.mp3,fridge_meaning_ko.mp3,fridge_example_en.mp3,fridge_example_ko.mp3,초급,2
frog,개구리,,개구리가 연못에서 뛰었습니다.,A frog jumped in the pond.,frog.png,frog_word_en.mp3,frog_meaning_ko.mp3,frog_example_en.mp3,frog_example_ko.mp3,초급,2
furniture,가구,,새 집에 필요한 가구를 샀습니다.,I bought furniture needed for the new house.,furniture.png,furniture_word_en.mp3,furniture_meaning_ko.mp3,furniture_example_en.mp3,furniture_example_ko.mp3,초급,2
further,더 나아가,,더 나아가 우리는 환경도 생각해야 합니다.,"Furthermore, we should also think about the environment.",further.png,further_word_en.mp3,further_meaning_ko.mp3,further_example_en.mp3,further_example_ko.mp3,초급,2
gallery,미술관,,주말에 친구와 미술관에 갔습니다.,I went to an art gallery with my friend on the weekend.,gallery.png,gallery_word_en.mp3,gallery_meaning_ko.mp3,gallery_example_en.mp3,gallery_example_ko.mp3,초급,2
gap,틈,,문과 벽 사이에 작은 틈이 있습니다.,There is a small gap between the door and the wall.,gap.png,gap_word_en.mp3,gap_meaning_ko.mp3,gap_example_en.mp3,gap_example_ko.mp3,초급,2
gas,가스,,가스 냄새가 나면 창문을 여세요.,"If you smell gas, open the window.",gas.png,gas_word_en.mp3,gas_meaning_ko.mp3,gas_example_en.mp3,gas_example_ko.mp3,초급,2
gate,대문,,집 앞의 대문이 열려 있습니다.,The gate in front of the house is open.,gate.png,gate_word_en.mp3,gate_meaning_ko.mp3,gate_example_en.mp3,gate_example_ko.mp3,여행,2
general,일반적인,,이것은 일반적인 문제입니다.,This is a general problem.,general.png,general_word_en.mp3,general_meaning_ko.mp3,general_example_en.mp3,general_example_ko.mp3,초급,2
gift,선물,,친구에게 생일 선물을 주었습니다.,I gave my friend a birthday gift.,gift.png,gift_word_en.mp3,gift_meaning_ko.mp3,gift_example_en.mp3,gift_example_ko.mp3,쇼핑,2
goal,목표,,제 목표는 한국어를 잘하는 것입니다.,My goal is to speak Korean well.,goal.png,goal_word_en.mp3,goal_meaning_ko.mp3,goal_example_en.mp3,goal_example_ko.mp3,비즈니스,3
god,신,,많은 사람들은 신에게 기도합니다.,Many people pray to God.,god.png,god_word_en.mp3,god_meaning_ko.mp3,god_example_en.mp3,god_example_ko.mp3,초급,2
gold,금,,그 반지는 금으로 만들어졌습니다.,That ring is made of gold.,gold.png,gold_word_en.mp3,gold_meaning_ko.mp3,gold_example_en.mp3,gold_example_ko.mp3,초급,2
golf,골프,,아버지는 주말마다 골프를 치세요.,My father plays golf every weekend.,golf.png,golf_word_en.mp3,golf_meaning_ko.mp3,golf_example_en.mp3,golf_example_ko.mp3,초급,2
government,정부,,정부는 새로운 법을 발표했어요.,The government announced a new law.,government.png,government_word_en.mp3,government_meaning_ko.mp3,government_example_en.mp3,government_example_ko.mp3,초급,2
grass,잔디,,아이들이 잔디 위에서 뛰어놀아요.,The children run and play on the grass.,grass.png,grass_word_en.mp3,grass_meaning_ko.mp3,grass_example_en.mp3,grass_example_ko.mp3,초급,2
greet,인사하다,,학생들은 선생님께 밝게 인사했어요.,The students greeted the teacher cheerfully.,greet.png,greet_word_en.mp3,greet_meaning_ko.mp3,greet_example_en.mp3,greet_example_ko.mp3,초급,2
ground,지면,,비가 와서 지면이 젖었어요.,The ground got wet because it rained.,ground.png,ground_word_en.mp3,ground_meaning_ko.mp3,ground_example_en.mp3,ground_example_ko.mp3,초급,2
guest,손님,,오늘 우리 집에 손님이 왔어요.,A guest came to our house today.,guest.png,guest_word_en.mp3,guest_meaning_ko.mp3,guest_example_en.mp3,guest_example_ko.mp3,초급,2
guide,안내하다,,직원이 우리를 회의실로 안내했어요.,The employee guided us to the meeting room.,guide.png,guide_word_en.mp3,guide_meaning_ko.mp3,guide_example_en.mp3,guide_example_ko.mp3,여행,2
gun,총,,박물관에 오래된 총이 전시되어 있어요.,An old gun is displayed in the museum.,gun.png,gun_word_en.mp3,gun_meaning_ko.mp3,gun_example_en.mp3,gun_example_ko.mp3,위기탈출,3
guy,남자,,저 남자는 우리 반 친구예요.,That guy is my classmate.,guy.png,guy_word_en.mp3,guy_meaning_ko.mp3,guy_example_en.mp3,guy_example_ko.mp3,초급,2
habit,습관,,아침에 물을 마시는 것은 좋은 습관이에요.,Drinking water in the morning is a good habit.,habit.png,habit_word_en.mp3,habit_meaning_ko.mp3,habit_example_en.mp3,habit_example_ko.mp3,초급,2
hall,복도,,복도에서 뛰면 위험해요.,It is dangerous to run in the hall.,hall.png,hall_word_en.mp3,hall_meaning_ko.mp3,hall_example_en.mp3,hall_example_ko.mp3,초급,2
happily,행복하게,,그들은 행복하게 함께 살았어요.,They lived happily together.,happily.png,happily_word_en.mp3,happily_meaning_ko.mp3,happily_example_en.mp3,happily_example_ko.mp3,초급,2
headache,두통,,오늘은 두통이 있어서 쉬고 싶어요.,"I have a headache today, so I want to rest.",headache.png,headache_word_en.mp3,headache_meaning_ko.mp3,headache_example_en.mp3,headache_example_ko.mp3,초급,2
heart,심장,,운동을 하면 심장이 빨리 뛰어요.,"When I exercise, my heart beats fast.",heart.png,heart_word_en.mp3,heart_meaning_ko.mp3,heart_example_en.mp3,heart_example_ko.mp3,초급,2
heat,열기,,난로의 열기가 방을 따뜻하게 했어요.,The heat from the heater made the room warm.,heat.png,heat_word_en.mp3,heat_meaning_ko.mp3,heat_example_en.mp3,heat_example_ko.mp3,초급,2
heavy,무거운,,이 가방은 너무 무거워요.,This bag is too heavy.,heavy.png,heavy_word_en.mp3,heavy_meaning_ko.mp3,heavy_example_en.mp3,heavy_example_ko.mp3,초급,2
height,높이,,이 건물의 높이는 100미터예요.,The height of this building is 100 meters.,height.png,height_word_en.mp3,height_meaning_ko.mp3,height_example_en.mp3,height_example_ko.mp3,초급,2
helpful,유용한,,이 책은 한국어 공부에 유용해요.,This book is helpful for studying Korean.,helpful.png,helpful_word_en.mp3,helpful_meaning_ko.mp3,helpful_example_en.mp3,helpful_example_ko.mp3,초급,2
hero,영웅,,그 소방관은 많은 사람들의 영웅이에요.,That firefighter is a hero to many people.,hero.png,hero_word_en.mp3,hero_meaning_ko.mp3,hero_example_en.mp3,hero_example_ko.mp3,초급,2
hers,그녀의 것,,이 모자는 그녀의 것이에요.,This hat is hers.,,hers_word_en.mp3,hers_meaning_ko.mp3,hers_example_en.mp3,hers_example_ko.mp3,초급,2
herself,그녀 자신,,그녀는 자기 자신을 믿어요.,She believes in herself.,herself.png,herself_word_en.mp3,herself_meaning_ko.mp3,herself_example_en.mp3,herself_example_ko.mp3,초급,2
hide,숨기다,,아이는 장난감을 침대 밑에 숨겼어요.,The child hid the toy under the bed.,hide.png,hide_word_en.mp3,hide_meaning_ko.mp3,hide_example_en.mp3,hide_example_ko.mp3,초급,2
hill,언덕,,우리는 작은 언덕을 올라갔어요.,We climbed a small hill.,hill.png,hill_word_en.mp3,hill_meaning_ko.mp3,hill_example_en.mp3,hill_example_ko.mp3,여행,2
himself,그 자신,,그는 자기 자신을 자랑스러워해요.,He is proud of himself.,himself.png,himself_word_en.mp3,himself_meaning_ko.mp3,himself_example_en.mp3,himself_example_ko.mp3,초급,2
hit,치다,,그는 공을 세게 쳤어요.,He hit the ball hard.,hit.png,hit_word_en.mp3,hit_meaning_ko.mp3,hit_example_en.mp3,hit_example_ko.mp3,초급,2
hockey,하키,,겨울에 우리는 하키 경기를 봤어요.,We watched a hockey game in winter.,hockey.png,hockey_word_en.mp3,hockey_meaning_ko.mp3,hockey_example_en.mp3,hockey_example_ko.mp3,초급,2
hold,잡다,,아이가 엄마의 손을 꼭 잡았어요.,The child held his mother's hand tightly.,hold.png,hold_word_en.mp3,hold_meaning_ko.mp3,hold_example_en.mp3,hold_example_ko.mp3,초급,2
hole,구멍,,양말에 작은 구멍이 났어요.,A small hole appeared in the sock.,hole.png,hole_word_en.mp3,hole_meaning_ko.mp3,hole_example_en.mp3,hole_example_ko.mp3,초급,2
huge,거대한,,바다에서 거대한 고래를 봤어요.,I saw a huge whale in the sea.,huge.png,huge_word_en.mp3,huge_meaning_ko.mp3,huge_example_en.mp3,huge_example_ko.mp3,초급,2
human,인간,,인간은 서로 도우며 살아가요.,Humans live by helping one another.,human.png,human_word_en.mp3,human_meaning_ko.mp3,human_example_en.mp3,human_example_ko.mp3,비즈니스,3
hurt,아프다,,넘어져서 무릎이 아파요.,"I fell down, so my knee hurts.",hurt.png,hurt_word_en.mp3,hurt_meaning_ko.mp3,hurt_example_en.mp3,hurt_example_ko.mp3,위기탈출,3
ideal,이상적인,,이 집은 우리 가족에게 이상적인 집이에요.,This house is an ideal home for our family.,ideal.png,ideal_word_en.mp3,ideal_meaning_ko.mp3,ideal_example_en.mp3,ideal_example_ko.mp3,초급,2
identify,확인하다,,경찰은 그 사람의 신원을 확인했어요.,The police identified the person's identity.,identify.png,identify_word_en.mp3,identify_meaning_ko.mp3,identify_example_en.mp3,identify_example_ko.mp3,초급,2
